date,tmax,tmin,tmean,Prec,Q
#,°C,°C,°C,mm/day,m³/s
01.01.1979,-12.9,-20.1,-16.5,1,143
02.01.1979,-10.9,-19.8,-15.35,0.6,110
03.01.1979,-6.2,-19.1,-12.65,0.7,62.6
04.01.1979,-6.3,-17,-11.65,0,46.9
05.01.1979,-12.4,-21,-16.7,0,35.7
06.01.1979,-9.5,-21,-15.25,0.1,31.7
07.01.1979,-6.7,-20.6,-13.65,1,32.2
08.01.1979,-0.4,-7.6,-4,2.6,35.7
09.01.1979,1.1,-1.3,-0.1,3.5,35.1
10.01.1979,1.1,-1.3,-0.1,6,25.2
11.01.1979,1.6,-0.1,0.75,5.4,22.4
12.01.1979,1.2,-0.3,0.45,3.3,19.4
13.01.1979,0.3,-1.7,-0.7,1.8,15.6
14.01.1979,0.7,-3.8,-1.55,1.2,16.9
15.01.1979,-0.5,-5.7,-3.1,0.1,17.1
16.01.1979,-3.8,-6.5,-5.15,0.3,18.6
17.01.1979,-3.1,-6.6,-4.85,0,19.4
18.01.1979,-3.4,-7.3,-5.35,0,20.7
19.01.1979,-3.3,-6.9,-5.1,0.1,20.2
20.01.1979,-3,-6.9,-4.95,0.1,20.2
21.01.1979,-3.6,-5.1,-4.35,0.1,20.7
22.01.1979,-2.2,-5.9,-4.05,1.2,24.2
23.01.1979,3.5,-3.3,0.1,4.6,21.6
24.01.1979,3.5,-1.9,0.8,1.1,15.6
25.01.1979,1.2,-6,-2.4,0,17.5
26.01.1979,0.1,-7.1,-3.5,0,17.5
27.01.1979,1.7,-1.2,0.25,2.4,15.6
28.01.1979,1.4,-1.6,-0.1,0.5,13.8
29.01.1979,1.7,-0.5,0.6,1,13.4
30.01.1979,2.7,-1.1,0.8,2.9,13.1
31.01.1979,1.7,-0.5,0.6,1.2,13.4
01.02.1979,2.8,0.5,1.65,7.3,13.4
02.02.1979,5,-0.7,2.15,4.1,13.8
03.02.1979,2.2,-3.5,-0.65,0,24.2
04.02.1979,3.2,-0.7,1.25,1,55.2
05.02.1979,3,-2,0.5,0,34.4
06.02.1979,1.9,-8.3,-3.2,0.3,27.1
07.02.1979,1.4,-8.4,-3.5,5.2,23.3
08.02.1979,2.6,-0.7,0.95,0.2,20.7
09.02.1979,0,-9.6,-4.8,0,22
10.02.1979,0.7,-11.6,-5.45,0.3,22
11.02.1979,0.7,-3.6,-1.45,8.2,22
12.02.1979,1.9,-2.1,-0.1,2.1,21.6
13.02.1979,4.1,0.7,2.4,4.4,24.7
14.02.1979,6.5,-0.5,3,3.7,25.6
15.02.1979,0.2,-7.4,-3.6,0.7,44.7
16.02.1979,-4.1,-8.1,-6.1,0.8,80.3
17.02.1979,-5,-8.3,-6.65,2,60.1
18.02.1979,-2.8,-8.2,-5.5,0,35.1
19.02.1979,1.6,-2.9,-0.65,0,31.7
20.02.1979,4.5,-1.3,1.6,0,24.2
21.02.1979,4.3,-5.3,-0.5,0,19.4
22.02.1979,2.6,-8.6,-3,0.2,18.2
23.02.1979,0.7,-3.9,-1.6,3,19
24.02.1979,1.5,-6.2,-2.35,0.5,18.6
25.02.1979,1.8,-7.8,-3,0,18.6
26.02.1979,2.4,-10.9,-4.25,0,16.9
27.02.1979,5,-8.9,-1.95,0,15.6
28.02.1979,5.6,-7.5,-0.95,0.1,15.9
01.03.1979,5.6,-4.1,0.75,0.5,15.9
02.03.1979,5.2,-0.9,2.15,0.5,15.9
03.03.1979,7.3,3.7,5.5,0.6,20.7
04.03.1979,8.6,1.3,4.95,7.6,56.8
05.03.1979,8.2,-1.4,3.4,0.1,109
06.03.1979,9.4,-1.7,3.85,1.9,148
07.03.1979,8.1,1,4.55,1,114
08.03.1979,5.8,-0.2,2.8,1,104
09.03.1979,6,-0.3,2.85,17.8,93.7
10.03.1979,5.3,-1.9,1.7,2.4,98.5
11.03.1979,3.6,-3,0.3,13.4,155
12.03.1979,9.4,3.3,6.35,2.4,146
13.03.1979,8.2,4.2,6.2,6.4,160
14.03.1979,4.6,2.4,3.5,8.7,170
15.03.1979,4.5,1.9,3.2,0.5,140
16.03.1979,4.7,1.9,3.3,2.9,149
17.03.1979,9.4,1.7,5.55,0.1,137
18.03.1979,8.8,-0.5,4.15,3.9,106
19.03.1979,2.9,-1.4,0.75,0.1,87.3
20.03.1979,6.6,-1.3,2.65,1.3,79.4
21.03.1979,10,0.9,5.45,2.3,68.6
22.03.1979,8,1.4,4.7,2.5,61.7
23.03.1979,7,-0.7,3.15,0.6,57.6
24.03.1979,8.4,-4.2,2.1,0.2,52.2
25.03.1979,10.7,-1,4.85,5.5,45.4
26.03.1979,13.2,6,9.6,6.3,45.4
27.03.1979,8.9,2.4,5.65,2.1,62.6
28.03.1979,10.3,6.5,8.4,4.2,63.4
29.03.1979,6.8,2.5,4.65,3.8,66
30.03.1979,4.2,2,3.1,5.6,71.2
31.03.1979,4.6,1.8,3.2,2.1,72.1
01.04.1979,6.4,-0.7,2.85,1.9,70.4
02.04.1979,9.5,2.9,6.2,7,61.7
03.04.1979,8,0.9,4.45,2.1,66
04.04.1979,8.5,-0.8,3.85,0.9,79.4
05.04.1979,6,0.1,3.05,1.5,70.4
06.04.1979,8,0.8,4.4,2.8,60.9
07.04.1979,6.3,2.7,4.5,3.7,56
08.04.1979,7.2,0.8,4,0.1,58.5
09.04.1979,11.8,-0.7,5.55,0,53.7
10.04.1979,18.2,-0.6,8.8,0,46.2
11.04.1979,18.2,1.7,9.95,0,41.7
12.04.1979,14.8,4.8,9.8,0,39
13.04.1979,19.9,1.2,10.55,0,36.4
14.04.1979,20.7,1.4,11.05,0,33.3
15.04.1979,21.9,3.4,12.65,0.8,31.2
16.04.1979,10.4,4,7.2,15.5,30.6
17.04.1979,5,2.7,3.85,0.4,37
18.04.1979,9.2,-0.1,4.55,0,40.3
19.04.1979,11.2,-0.4,5.4,0,32.8
20.04.1979,11.7,-1.5,5.1,2.1,29
21.04.1979,9.4,2.2,5.8,3,28
22.04.1979,9.7,4.2,6.95,8,28.5
23.04.1979,14.7,4,9.35,7.3,31.2
24.04.1979,12.4,7,9.7,1.7,44
25.04.1979,10.5,5,7.75,6.5,60.1
26.04.1979,12.7,2.3,7.5,0.1,56.8
27.04.1979,9,1.4,5.2,0.1,50.7
28.04.1979,11,1,6,0.1,45.4
29.04.1979,9.6,-0.5,4.55,4,40.3
30.04.1979,8.8,3.1,5.95,6.6,35.7
01.05.1979,7.8,-1.5,3.15,4.8,44.7
02.05.1979,7.8,3.5,5.65,0.4,46.9
03.05.1979,8.6,1.3,4.95,2.5,44.7
04.05.1979,5.6,0.3,2.95,2.2,38.4
05.05.1979,10,2.6,6.3,3.1,36.4
06.05.1979,8.4,1.1,4.75,1.1,35.7
07.05.1979,13.3,-2.6,5.35,0,34.4
08.05.1979,18.4,-1.1,8.65,0,31.2
09.05.1979,21,0.5,10.75,0.1,28
10.05.1979,12.2,4,8.1,0.1,26.1
11.05.1979,10,-0.1,4.95,9.6,25.2
12.05.1979,12.7,9.5,11.1,0.1,27.1
13.05.1979,19,8.1,13.55,0,29
