Date;rainfall[mm];TURC [mm d-1];Discharge[ls-1]
01.01.2012;2.052861283;0.35;nan
02.01.2012;0;0.26;nan
03.01.2012;0.58456085;0.39;nan
04.01.2012;0.123880377;0.53;nan
05.01.2012;0;0.44;nan
06.01.2012;0;0.63;nan
07.01.2012;0;0.42;nan
08.01.2012;0;0.39;nan
09.01.2012;1.163450614;0.29;nan
10.01.2012;0.110276668;0.27;nan
11.01.2012;0;0;nan
12.01.2012;0;0;nan
13.01.2012;0;0;nan
14.01.2012;0;0;nan
15.01.2012;0;0;nan
16.01.2012;0;0;nan
17.01.2012;0;0;nan
18.01.2012;1.219186104;0;nan
19.01.2012;11.18647129;0.34;nan
20.01.2012;6.105975569;0.23;nan
21.01.2012;4.373221849;0.29;nan
22.01.2012;5.178867935;0.35;nan
23.01.2012;2.623482708;0.31;nan
24.01.2012;1.369532702;0.17;nan
25.01.2012;0.100778681;0;nan
26.01.2012;0;0;nan
27.01.2012;0.636631682;0.03;nan
28.01.2012;0;0.05;nan
29.01.2012;0;0;nan
30.01.2012;0;0;nan
31.01.2012;0;0;nan
01.02.2012;0;0;nan
02.02.2012;0;0;nan
03.02.2012;0;0;nan
04.02.2012;0;0;nan
05.02.2012;0;0;nan
06.02.2012;0;0;nan
07.02.2012;0;0;nan
08.02.2012;0;0;nan
09.02.2012;0;0;nan
10.02.2012;0;0;nan
11.02.2012;0;0;nan
12.02.2012;0;0;nan
13.02.2012;0;0;nan
14.02.2012;0;0.02;nan
15.02.2012;2.17738637;0.32;nan
16.02.2012;0;0.39;nan
17.02.2012;0.2499812;0.41;nan
18.02.2012;0.931498122;0.43;nan
19.02.2012;1.746463163;0.53;nan
20.02.2012;0;0.04;nan
21.02.2012;0;0.06;nan
22.02.2012;0;0.45;nan
23.02.2012;0;0.47;nan
24.02.2012;0;0.62;nan
25.02.2012;0;0.94;nan
26.02.2012;0;0.59;nan
27.02.2012;0;0.34;nan
28.02.2012;0;0.62;nan
29.02.2012;0.207535518;1.04;nan
01.03.2012;0;0.63;nan
02.03.2012;0.100209282;0.58;nan
03.03.2012;0.102361883;0.54;nan
04.03.2012;0;0.65;nan
05.03.2012;0.650417002;0.56;nan
06.03.2012;0;1.06;nan
07.03.2012;1.16677932;0.33;nan
08.03.2012;0.620345275;0.81;nan
09.03.2012;0;0.51;nan
10.03.2012;0;0.65;nan
11.03.2012;0;0.79;nan
12.03.2012;0;1.35;nan
13.03.2012;0;0.66;nan
14.03.2012;0;0.59;nan
15.03.2012;0;1.43;nan
16.03.2012;0;1.89;nan
17.03.2012;0;1.83;nan
18.03.2012;6.356746921;0.69;nan
19.03.2012;0;1.54;nan
20.03.2012;0;1.47;nan
21.03.2012;0;1.9;nan
22.03.2012;0;2.35;nan
23.03.2012;0;2.38;nan
24.03.2012;0;2.3;nan
25.03.2012;0;2.67;nan
26.03.2012;0;2.5;nan
27.03.2012;0;2.67;nan
28.03.2012;0;2.81;nan
29.03.2012;0;1.12;nan
30.03.2012;0;0.85;nan
31.03.2012;0;0.84;nan
01.04.2012;0;1.4;nan
02.04.2012;0;0.9;nan
03.04.2012;0.751147786;2.11;nan
04.04.2012;6.234130095;1.55;nan
05.04.2012;0;0.71;nan
06.04.2012;0;1.04;nan
07.04.2012;0.641610559;0.74;nan
08.04.2012;0;0.94;nan
09.04.2012;2.228532307;0.63;nan
10.04.2012;3.026204163;1.12;nan
11.04.2012;0.46035981;1.3;nan
12.04.2012;1.034950878;1.2;nan
13.04.2012;0.099439631;1.36;nan
14.04.2012;0;1.56;nan
15.04.2012;0;1.58;nan
16.04.2012;0;1.11;nan
17.04.2012;0;1.75;nan
18.04.2012;0;1.54;nan
19.04.2012;1.666469734;1.58;nan
20.04.2012;6.49722907;1.42;nan
21.04.2012;4.282479402;1.18;nan
22.04.2012;3.149470554;2.02;nan
23.04.2012;0;1.86;nan
24.04.2012;0.576750765;1.21;nan
25.04.2012;0.227285801;1.75;nan
26.04.2012;1.477948828;1.17;nan
27.04.2012;0.115071088;1.82;nan
28.04.2012;0;3.96;nan
29.04.2012;0;2.4;nan
30.04.2012;0.211165732;3.55;nan
01.05.2012;0;3.85;nan
02.05.2012;7.043225031;2.26;nan
03.05.2012;0;2.08;nan
04.05.2012;2.546992839;2.83;nan
05.05.2012;8.085650311;1.21;nan
06.05.2012;4.67993303;1.11;nan
07.05.2012;0;1.61;nan
08.05.2012;0;3.36;nan
09.05.2012;3.181178733;1.58;nan
10.05.2012;0.10099184;2.63;nan
11.05.2012;14.48655285;2.61;nan
12.05.2012;0;1.85;nan
13.05.2012;0;2.65;nan
14.05.2012;0;2.9;nan
15.05.2012;11.72812871;1.69;nan
16.05.2012;2.567372337;1.93;nan
17.05.2012;0.127193178;3.14;nan
18.05.2012;2.818878724;1.76;nan
19.05.2012;8.900350658;3.05;nan
20.05.2012;0.401544065;4.07;nan
21.05.2012;0;2.12;nan
22.05.2012;0;5.36;nan
23.05.2012;3.679706569;3.09;nan
24.05.2012;0.101080379;4.95;nan
25.05.2012;0;5.01;nan
26.05.2012;0;4.98;nan
27.05.2012;0;3.25;nan
28.05.2012;0.321305602;3.43;nan
29.05.2012;0;4.73;nan
30.05.2012;0;4.1;nan
31.05.2012;0.224517541;1.68;nan
01.06.2012;4.596540569;2.27;nan
02.06.2012;0;3.01;nan
03.06.2012;1.364553991;1.31;nan
04.06.2012;1.065027646;1.73;nan
05.06.2012;0;2.11;nan
06.06.2012;0;1.71;nan
07.06.2012;0;2.09;nan
08.06.2012;0;3.71;nan
09.06.2012;0;3.47;nan
10.06.2012;0;2.82;nan
11.06.2012;0;1.97;nan
12.06.2012;7.23930017;2.48;nan
13.06.2012;26.50460299;1.43;nan
14.06.2012;0.100491752;2.32;nan
15.06.2012;0.704714972;1.83;nan
16.06.2012;7.426936784;1.57;nan
17.06.2012;0;4.32;nan
18.06.2012;0;4.34;nan
19.06.2012;8.756527923;2.39;nan
20.06.2012;17.07189609;1.66;nan
21.06.2012;5.24496361;2.05;nan
22.06.2012;0.10174942;3.58;nan
23.06.2012;0;3.71;nan
24.06.2012;4.402583345;2.73;nan
25.06.2012;0.425813334;2.34;nan
26.06.2012;0;3.64;nan
27.06.2012;0.871569354;2.33;nan
28.06.2012;0.100209282;2.93;nan
29.06.2012;15.37761492;3.53;nan
30.06.2012;0.103716701;4.54;nan
01.07.2012;1.723063686;2.38;nan
02.07.2012;0.538548728;1.56;nan
03.07.2012;0.103595763;4.3;nan
04.07.2012;0;5.09;nan
05.07.2012;0.859775595;3.46;nan
06.07.2012;0.833394972;2.92;nan
07.07.2012;2.761336277;4.24;nan
08.07.2012;6.613458276;2.5;nan
09.07.2012;1.343123714;3.39;nan
10.07.2012;6.240313766;3.14;nan
11.07.2012;3.491422269;2.14;nan
12.07.2012;0.444357341;2.55;nan
13.07.2012;15.09272074;1.73;nan
14.07.2012;25.91844249;2.54;nan
15.07.2012;2.369939964;2.53;nan
16.07.2012;0.664489808;2.32;nan
17.07.2012;1.152821883;1.91;nan
18.07.2012;0;3.23;nan
19.07.2012;0;2.65;nan
20.07.2012;0.104251899;2.1;nan
21.07.2012;7.524294533;1.91;nan
22.07.2012;0;4.22;nan
23.07.2012;0;4.84;nan
24.07.2012;0;5.25;nan
25.07.2012;0;5.52;nan
26.07.2012;0;4.96;nan
27.07.2012;0.71497793;4.87;nan
28.07.2012;5.635569646;2.9;nan
29.07.2012;0.248982158;3.05;nan
30.07.2012;3.210364058;3.03;nan
31.07.2012;0;2.69;nan
01.08.2012;0;5.06;nan
02.08.2012;0;3.52;nan
03.08.2012;0;3.49;nan
04.08.2012;0;3.14;nan
05.08.2012;0.826030268;2.49;nan
06.08.2012;5.221529943;2.71;nan
07.08.2012;0.312130111;2.83;nan
08.08.2012;0;3.62;nan
09.08.2012;0;2.63;nan
10.08.2012;0;3.52;nan
11.08.2012;0;3.6;nan
12.08.2012;0;4.19;nan
13.08.2012;0;3.95;nan
14.08.2012;0;3.63;nan
15.08.2012;0;3.02;nan
16.08.2012;6.757477709;3.6;nan
17.08.2012;0;3.48;nan
18.08.2012;0;4.86;nan
19.08.2012;0;4.88;nan
20.08.2012;0.221908764;3;nan
21.08.2012;0;3.52;nan
22.08.2012;0;3.96;nan
23.08.2012;0;4.23;nan
24.08.2012;5.486384479;1.54;nan
25.08.2012;0;2.79;nan
26.08.2012;0.452769647;1.82;nan
27.08.2012;0;3.38;nan
28.08.2012;0;2.53;nan
29.08.2012;0.612815989;2.96;nan
30.08.2012;0;1.35;nan
31.08.2012;1.125232008;1.71;nan
01.09.2012;0;2.65;nan
02.09.2012;0;3;nan
03.09.2012;0;3.54;nan
04.09.2012;0;3.21;nan
05.09.2012;0;1.2;nan
06.09.2012;0;2.1;nan
07.09.2012;0;3.13;nan
08.09.2012;0;3.64;nan
09.09.2012;0;3.76;nan
10.09.2012;0;3.38;nan
11.09.2012;13.54578198;1.36;nan
12.09.2012;1.412819865;1;nan
13.09.2012;0.100209282;1.37;nan
14.09.2012;2.64355724;2.15;nan
15.09.2012;0.203690864;1.02;nan
16.09.2012;0.103141494;2.35;nan
17.09.2012;0;2.72;nan
18.09.2012;1.065046071;1.86;nan
19.09.2012;0.463291857;2.12;nan
20.09.2012;0.100209282;1.4;nan
21.09.2012;2.804011549;1.34;nan
22.09.2012;0.100891145;1.55;nan
23.09.2012;0;1.11;nan
24.09.2012;5.614039905;1.15;nan
25.09.2012;2.346876165;0.95;nan
26.09.2012;3.562013413;0.95;nan
27.09.2012;2.39513061;1.22;nan
28.09.2012;0;1.94;nan
29.09.2012;0.101817107;1.37;nan
30.09.2012;0.103899938;1.53;nan
01.10.2012;0.307930088;1.51;nan
02.10.2012;0.10254475;1.2;nan
03.10.2012;0.403395594;1.15;nan
04.10.2012;12.51779236;1.09;nan
05.10.2012;1.41091845;0.86;nan
06.10.2012;6.073277622;1;nan
07.10.2012;2.680292566;1.42;nan
08.10.2012;0.299858195;0.81;nan
09.10.2012;0.732005881;1.52;nan
10.10.2012;0;1.04;nan
11.10.2012;0.100720276;1.18;nan
12.10.2012;3.197505101;0.65;nan
13.10.2012;3.555910417;1.21;nan
14.10.2012;7.480236484;0.74;nan
15.10.2012;0.454507793;0.6;nan
16.10.2012;0.099439631;0.8;nan
17.10.2012;0.100209282;0.62;nan
18.10.2012;0;1.87;nan
19.10.2012;0;1.86;nan
20.10.2012;0.10058936;1.42;nan
21.10.2012;0.100640272;1.75;nan
22.10.2012;0.100209282;1.24;nan
23.10.2012;0;0.6;nan
24.10.2012;0.100209282;0.54;nan
25.10.2012;0;0.6;nan
26.10.2012;14.07118471;0.39;nan
27.10.2012;1.516291237;0.16;nan
28.10.2012;0.111496891;0;nan
29.10.2012;0.108158529;0;nan
30.10.2012;5.133717827;0.37;nan
31.10.2012;0.122396573;0.81;nan
01.11.2012;2.39637902;0.5;nan
02.11.2012;8.131136921;0.62;nan
03.11.2012;7.789490852;0.44;nan
04.11.2012;3.115891884;0.46;nan
05.11.2012;2.648004818;0.58;nan
06.11.2012;0.108211059;0.64;nan
07.11.2012;0;0.49;nan
08.11.2012;0;0.5;nan
09.11.2012;0;0.49;nan
10.11.2012;10.50276489;0.46;nan
11.11.2012;0.103268345;0.5;nan
12.11.2012;0.101566606;0.3;nan
13.11.2012;0.200069189;0.01;nan
14.11.2012;0.105169605;0.08;nan
15.11.2012;0;0.21;nan
16.11.2012;0;0.21;nan
17.11.2012;0;0.25;nan
18.11.2012;0.522474816;0.38;nan
19.11.2012;0.101078256;0.36;nan
20.11.2012;0.105382174;0.22;nan
21.11.2012;0.249835567;0.2;nan
22.11.2012;0.100249036;0.18;nan
23.11.2012;0.201533138;0.28;nan
24.11.2012;0.309757147;0.4;nan
25.11.2012;0.183579714;0.63;nan
26.11.2012;5.663064676;0.31;nan
27.11.2012;0.448863743;0.39;nan
28.11.2012;0.203350776;0.35;nan
29.11.2012;0;0.25;nan
30.11.2012;0.15531028;0.06;nan
01.12.2012;0;0;nan
02.12.2012;2.229082138;0.08;nan
03.12.2012;0.631836587;0.07;nan
04.12.2012;1.450042377;0.2;nan
05.12.2012;0.20808764;0.15;nan
06.12.2012;0;0;nan
07.12.2012;0;0;nan
08.12.2012;0;0;nan
09.12.2012;6.108605507;0;nan
10.12.2012;3.320764568;0.13;nan
11.12.2012;0;0;nan
12.12.2012;0;0;nan
13.12.2012;0;0;nan
14.12.2012;11.3498736;0.08;nan
15.12.2012;1.07618634;0.32;nan
16.12.2012;0.965767621;0.39;nan
17.12.2012;4.037667261;0.29;nan
18.12.2012;0.100254803;0.27;nan
19.12.2012;0.200418564;0.17;nan
20.12.2012;0.228574953;0.13;nan
21.12.2012;4.122440719;0.09;nan
22.12.2012;3.902192703;0.25;nan
23.12.2012;8.965119864;0.46;nan
24.12.2012;1.654593813;0.51;nan
25.12.2012;2.19554711;0.45;nan
26.12.2012;5.305579636;0.39;nan
27.12.2012;8.833007442;0.51;nan
28.12.2012;0;0.3;nan
29.12.2012;0;0.52;nan
30.12.2012;0.936592981;0.57;nan
31.12.2012;0;0.4;nan
01.01.2013;2.052861283;0.35;24.418331
02.01.2013;0;0.27;18.871897
03.01.2013;0.58456085;0.37;15.542923
04.01.2013;0.123880377;0.46;13.749797
05.01.2013;0;0.41;12.432438
06.01.2013;0;0.4;10.779954
07.01.2013;0;0.38;9.679059
08.01.2013;0;0.32;8.504039
09.01.2013;1.163450614;0.29;7.848518
10.01.2013;0.110276668;0.28;7.778211
11.01.2013;0;0;6.871534
12.01.2013;0;0;5.976367
13.01.2013;0;0;5.639718
14.01.2013;0;0;5.482801
15.01.2013;0;0;5.551196
16.01.2013;0;0;5.388404
17.01.2013;0;0;5.226621
18.01.2013;0;0;5.16354
19.01.2013;0;0;5.564683
20.01.2013;0;0;5.957756
21.01.2013;0;0;6.274101
22.01.2013;0;0;6.25
23.01.2013;0;0;6.23
24.01.2013;0;0;6.21
25.01.2013;0;0;6.19
26.01.2013;0;0;6.17
27.01.2013;3.310331039;0;6.15
28.01.2013;8.098844635;0.17;6.143736
29.01.2013;5.555837156;0.44;67.386173
30.01.2013;4.659346435;0.57;98.59951
31.01.2013;8.678574079;0.46;80.011049
01.02.2013;6.416312834;0.39;103.328494
02.02.2013;0.585763486;0.25;96.736221
03.02.2013;0.98774513;0.22;65.159635
04.02.2013;0.878132691;0.39;59.196146
05.02.2013;4.848835201;0.44;56.141688
06.02.2013;2.214924475;0;46.823822
07.02.2013;0.315204331;0.06;38.530109
08.02.2013;0.688363528;0;34.144966
09.02.2013;0.537587552;0;30.088306
10.02.2013;0;0;26.788075
11.02.2013;0;0;23.962136
12.02.2013;0;0;20.621056
13.02.2013;0;0;17.775907
14.02.2013;0;0;15.857303
15.02.2013;2.737719864;0.01;14.777229
16.02.2013;1.015202732;0.16;17.461349
17.02.2013;0;0.2;22.883208
18.02.2013;0;0.34;23.845093
19.02.2013;2.54909879;0;21.86127
20.02.2013;0;0;19.853548
21.02.2013;0;0;18.264846
22.02.2013;0;0;17.236124
23.02.2013;0;0;16.584315
24.02.2013;1.274964868;0;15.375273
25.02.2013;5.233084746;0.11;13.871548
26.02.2013;0.257978214;0.22;13.038394
27.02.2013;0;0.06;14.918089
28.02.2013;0;0.19;15.247023
01.03.2013;0;0.23;18.653939
02.03.2013;0;0.64;24.390232
03.03.2013;0;0.13;26.492173
04.03.2013;0.127083124;0.29;25.443637
05.03.2013;0;0.48;23.432959
06.03.2013;0.102087612;0.99;22.280846
07.03.2013;1.790611675;0.67;21.452868
08.03.2013;0.558562408;1.28;22.858965
09.03.2013;2.167173903;0.64;22.082662
10.03.2013;1.357020944;0.42;20.443747
11.03.2013;0;0;18.716441
12.03.2013;0;0;18.244689
13.03.2013;0.739369543;0;16.916135
14.03.2013;0.214254297;0;15.284938
15.03.2013;0.104845802;0;14.00103
16.03.2013;0;0.31;13.50998
17.03.2013;1.303862735;0.19;14.320551
18.03.2013;0;0.42;27.354957
19.03.2013;0.142673758;0.53;36.772176
20.03.2013;4.864261381;0.32;48.00298
21.03.2013;0;0.17;50.356696
22.03.2013;0;0.17;45.946707
23.03.2013;0;0;40.412788
24.03.2013;0;0;34.953245
25.03.2013;0;0;30.804001
26.03.2013;0;0;27.969613
27.03.2013;0;0;24.805747
28.03.2013;0;0;23.038726
29.03.2013;0.203593466;0.07;21.382703
30.03.2013;0;0.13;19.574033
31.03.2013;0;0;17.755825
01.04.2013;0;0;16.264878
02.04.2013;0;0.19;14.497697
03.04.2013;0;0.23;12.911583
04.04.2013;0;0.61;12.519697
05.04.2013;0;0.29;11.880156
06.04.2013;0;0.28;11.099295
07.04.2013;0;0.25;10.792131
08.04.2013;0.712984118;0.83;11.031519
09.04.2013;2.157146283;0.62;11.063046
10.04.2013;1.125369394;1;10.432581
11.04.2013;5.339580331;1.39;10.405523
12.04.2013;12.33943522;1.47;20.367295
13.04.2013;0.508279458;2.34;18.812959
14.04.2013;0;2.01;16.443959
15.04.2013;0;3.15;15.842358
16.04.2013;2.855278519;2.57;15.963371
17.04.2013;0;2.02;14.906706
18.04.2013;0;3.27;14.117884
19.04.2013;0.353597317;1.69;13.188015
20.04.2013;0;1.98;12.052954
21.04.2013;0;2.32;11.928762
22.04.2013;0;2.08;11.40644
23.04.2013;0.876230574;1.88;10.633094
24.04.2013;0;3.67;9.135218
25.04.2013;0;3.49;8.348676
26.04.2013;13.82395604;1.9;9.811417
27.04.2013;8.293600025;0.8;16.038199
28.04.2013;0.478398276;1.13;13.761059
29.04.2013;0;2.54;12.086581
30.04.2013;1.420622693;1.03;11.431914
01.05.2013;0.141786314;1.51;10.747734
02.05.2013;0;2.25;10.073772
03.05.2013;0;1.86;9.441185
04.05.2013;0;2.85;8.996614
05.05.2013;0;3.81;8.189752
06.05.2013;0;3.47;7.532977
07.05.2013;3.317989574;1.62;7.249058
08.05.2013;0.207117652;2.25;7.166745
09.05.2013;2.352225074;2.29;7.313077
10.05.2013;0;2.35;6.558072
11.05.2013;0.687868446;1.85;5.795573
12.05.2013;9.546001617;1.88;6.811404
13.05.2013;1.497689714;1.29;6.169322
14.05.2013;1.034103142;1.53;5.979106
15.05.2013;1.586295215;2.13;6.403671
16.05.2013;0.77223393;2.24;6.448726
17.05.2013;0.105340329;1.33;6.43021
18.05.2013;0.104621964;2.36;6.145124
19.05.2013;17.4205831;2.71;8.532971
20.05.2013;6.430174394;1.35;21.864815
21.05.2013;2.725247239;1.53;12.78167
22.05.2013;5.503978419;1.18;20.050647
23.05.2013;12.44602574;1.06;34.547334
24.05.2013;0;1.36;29.138713
25.05.2013;1.296469046;1.78;25.69534
26.05.2013;20.41429324;1.04;85.193173
27.05.2013;0.577905728;2.57;100.145387
28.05.2013;0;3.88;66.987341
29.05.2013;7.738908459;1.21;68.474104
30.05.2013;2.829262724;2.16;56.474726
31.05.2013;9.92731459;1.58;64.028852
01.06.2013;0;1.8;51.844541
02.06.2013;0;3.5;42.472362
03.06.2013;0;3.55;34.08307
04.06.2013;0;4.19;28.545171
